_id,pin,address,block_lot,sale_price,act77_gent_date,last_payment_date,treasury_sale_date,partition_latest_sale_date,latitude,longitude,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
281326,0026N00028000000,"3371 MILWAUKEE ST, PITTSBURGH, PA 15219",0026N00028,1000,1976-12-30,1976-12-30,2002-10-31,1978-09-20,40.453989193251054,-79.96225482896355,Upper Hill,6,5,2-22,2,3,Central,Schenley
281327,0008H00030000000,"300 SANDUSKY ST, PITTSBURGH, PA 15212",0008H00030,0,,,,1978-10-03,40.449805690065176,-80.00187020824833,North Shore,1,22,1-20,1,6,Northern,Riverview
281328,0010F00198000000,"2201 BEDFORD AVE, PITTSBURGH, PA 15219",0010F00198,5000,,,,1991-08-22,40.449587293870486,-79.97828093257203,Bedford Dwellings,6,5,2-5,2,3,Central,Schenley
281329,0091N00241000000," CIRCLE AVE, PITTSBURGH, PA 15207",0091N00241,559,1983-02-08,1983-02-08,,1991-11-08,40.386282947639934,-79.93016140910211,New Homestead,5,31,4-20,4,3,Eastern,Frick
281330,0124N00090000000,"145 MAYFLOWER ST, PITTSBURGH, PA 15206",0124N00090,7532,1987-08-27,1987-08-27,1993-06-21,1991-09-06,40.46336853510718,-79.91457883746777,Larimer,9,12,3-10,5,2,Eastern,Highland
281331,0048N00099000000," ELBOW ST, PITTSBURGH, PA 15212",0048N00099,3105,1988-09-02,1988-09-02,,1991-11-08,40.464706431832965,-79.98069657837294,Troy Hill,1,24,1-2,1,1,Northern,Riverview
281332,0047L00245000000,"ZOLLER ST, PITTSBURGH, PA 15212",0047L00245,10,1989-02-08,1989-02-08,,1991-07-26,40.46538142734935,-79.98729694647666,Spring Hill-City View,1,24,1-11,1,1,Northern,Riverview
281333,0021P00021000000," OTTERSON AVE, PITTSBURGH, PA 15204",0021P00021,365,1989-04-21,1989-04-21,,1991-11-08,40.453373530330296,-80.04497895674373,Sheraden,2,20,1-16,6,5,Northern,Emerald
281334,0005L00067000000,"HALLOCK ST, PITTSBURGH, PA 15211",0005L00067,10,1989-02-08,1989-02-08,,1991-07-26,40.42821513335566,-80.02046461262891,Duquesne Heights,2,20,4-1,3,5,Southern,Emerald
281335,0006P00225000000,"FINGAL ST, PITTSBURGH, PA 15211",0006P00225,10,1989-04-25,1989-04-25,,1991-07-26,40.435841430804295,-80.02788082564163,Duquesne Heights,2,19,4-1,3,5,Southern,Emerald
281336,0005L00065000000,"HALLOCK ST, PITTSBURGH, PA 15211",0005L00065,10,1991-08-22,1991-08-22,,1991-07-26,40.42829473650198,-80.02035376788612,Duquesne Heights,2,20,4-1,3,5,Southern,Emerald
281337,0005G00007000000,"HALLOCK ST, PITTSBURGH, PA 15211",0005G00007,10,1991-08-22,1991-08-22,,1991-07-26,40.42866527994981,-80.02059291827915,Duquesne Heights,2,20,4-1,3,5,Southern,Emerald
281338,0032E00077000000," WALDE ST, PITTSBURGH, PA 15210",0032E00077,2405,1979-01-29,1979-01-29,,1991-04-08,40.410752989860775,-79.97948284873561,Mt. Oliver,3,16,4-8,3,4,Southern,Schenley
281339,0035S00155000000," CAPITAL AVE, PITTSBURGH, PA 15226",0035S00155,3226,,,1993-09-20,1991-04-08,40.404358646994645,-80.01825015586766,Brookline,4,19,4-26,6,4,Southern,Emerald
281340,0024A00209000000,"QUEEN ST, PITTSBURGH, PA 15212",0024A00209,100,2001-09-19,2001-09-19,2004-12-16,1981-07-15,40.46067262004555,-79.99776571461838,Spring Hill-City View,1,24,1-24,1,1,Northern,Riverview
281341,0048F00138000000,"1905 LOOKOUT ST, PITTSBURGH, PA 15212",0048F00138,4027,2002-02-27,2004-04-16,2006-03-31,2006-03-31,40.46896962634886,-79.97707059373465,Troy Hill,1,24,1-2,1,1,Northern,Riverview
281342,0077K00033000000,"3 MILROY ST, PITTSBURGH, PA 15214",0077K00033,1999,2002-07-31,2004-03-01,2006-12-04,2006-12-04,40.476453445776315,-80.01114710212394,Perry North,1,26,1-15,1,1,Northern,Riverview
281343,0045M00222000A00,"72 STRAUSS ST, PITTSBURGH, PA 15214",0045M00222A,746,1992-03-04,1992-03-04,2006-09-22,2006-09-22,40.465700783377216,-80.01939149117185,Perry South,6,26,1-12,1,1,Northern,Riverview
281344,0045M00249000000,"32 HARLAN AVE, PITTSBURGH, PA 15214",0045M00249,977,1978-01-11,1978-01-11,2006-06-23,2006-06-23,40.46557979927377,-80.0189360872952,Perry South,6,26,1-12,1,1,Northern,Riverview
